AACS02000001.1	cont3.1	NW_003307544.1	chr1_AACS02000001v1_random
AACS02000002.1	cont3.2	NW_003307543.1	chr2_AACS02000002v1_random
AACS02000003.1	cont3.3	NW_003307542.1	chr3_AACS02000003v1_random
AACS02000004.1	cont3.4	NW_003307541.1	chr4_AACS02000004v1_random
AACS02000005.1	cont3.5	NW_003307540.1	chr5_AACS02000005v1_random
AACS02000006.1	cont3.6	NW_003307539.1	chr6_AACS02000006v1_random
AACS02000007.1	cont3.7	NW_003307538.1	chr7_AACS02000007v1_random
AACS02000008.1	cont3.8	NW_003307537.1	chr8_AACS02000008v1_random
AACS02000009.1	cont3.9	NW_003307536.1	chr9_AACS02000009v1_random
AACS02000010.1	cont3.10	NW_003307535.1	chr10_AACS02000010v1_random
AACS02000011.1	cont3.11	NW_003307534.1	chr11_AACS02000011v1_random
AACS02000012.1	cont3.12	NW_003307533.1	chr12_AACS02000012v1_random
AACS02000013.1	cont3.13	NW_003307532.1	chr13_AACS02000013v1_random
AACS02000014.1	cont3.14	NW_003307531.1	chrUn_AACS02000014v1
AACS02000015.1	cont3.15	NW_003307530.1	chrUn_AACS02000015v1
AACS02000016.1	cont3.16	NW_003307529.1	chrUn_AACS02000016v1
AACS02000017.1	cont3.17	NW_003307528.1	chrUn_AACS02000017v1
AACS02000018.1	cont3.18	NW_003307527.1	chrUn_AACS02000018v1
AACS02000019.1	cont3.19	NW_003307526.1	chrUn_AACS02000019v1
AACS02000020.1	cont3.20	NW_003307525.1	chrUn_AACS02000020v1
AACS02000021.1	cont3.21	NW_003307524.1	chrUn_AACS02000021v1
AACS02000022.1	cont3.22	NW_003307523.1	chrUn_AACS02000022v1
AACS02000023.1	cont3.23	NW_003307522.1	chrUn_AACS02000023v1
AACS02000024.1	cont3.24	NW_003307521.1	chrUn_AACS02000024v1
AACS02000025.1	cont3.25	NW_003307520.1	chrUn_AACS02000025v1
AACS02000026.1	cont3.26	NW_003307519.1	chrUn_AACS02000026v1
AACS02000027.1	cont3.27	NW_003307518.1	chrUn_AACS02000027v1
AACS02000028.1	cont3.28	NW_003307517.1	chrUn_AACS02000028v1
AACS02000029.1	cont3.29	NW_003307516.1	chrUn_AACS02000029v1
AACS02000030.1	cont3.30	NW_003307515.1	chrUn_AACS02000030v1
AACS02000031.1	cont3.31	NW_003307514.1	chrUn_AACS02000031v1
AACS02000032.1	cont3.32	NW_003307513.1	chrUn_AACS02000032v1
AACS02000033.1	cont3.33	NW_003307512.1	chrUn_AACS02000033v1
AACS02000034.1	cont3.34	NW_003307511.1	chrUn_AACS02000034v1
AACS02000035.1	cont3.35	NW_003307510.1	chrUn_AACS02000035v1
AACS02000036.1	cont3.36	NW_003307509.1	chrUn_AACS02000036v1
AACS02000037.1	cont3.37	NW_003307508.1	chrUn_AACS02000037v1
AACS02000038.1	cont3.38	NW_003307507.1	chrUn_AACS02000038v1
AACS02000039.1	cont3.39	NW_003307506.1	chrUn_AACS02000039v1
AACS02000040.1	cont3.40	NW_003307505.1	chrUn_AACS02000040v1
AACS02000041.1	cont3.41	NW_003307504.1	chrUn_AACS02000041v1
AACS02000042.1	cont3.42	NW_003307503.1	chrUn_AACS02000042v1
AACS02000043.1	cont3.43	NW_003307502.1	chrUn_AACS02000043v1
AACS02000044.1	cont3.44	NW_003307501.1	chrUn_AACS02000044v1
AACS02000045.1	cont3.45	NW_003307500.1	chrUn_AACS02000045v1
AACS02000046.1	cont3.46	NW_003307499.1	chrUn_AACS02000046v1
AACS02000047.1	cont3.47	NW_003307498.1	chrUn_AACS02000047v1
AACS02000048.1	cont3.48	NW_003307497.1	chrUn_AACS02000048v1
AACS02000049.1	cont3.49	NW_003307496.1	chrUn_AACS02000049v1
AACS02000050.1	cont3.50	NW_003307495.1	chrUn_AACS02000050v1
AACS02000051.1	cont3.51	NW_003307494.1	chrUn_AACS02000051v1
AACS02000052.1	cont3.52	NW_003307493.1	chrUn_AACS02000052v1
AACS02000053.1	cont3.53	NW_003307492.1	chrUn_AACS02000053v1
AACS02000054.1	cont3.54	NW_003307491.1	chrUn_AACS02000054v1
AACS02000055.1	cont3.55	NW_003307490.1	chrUn_AACS02000055v1
AACS02000056.1	cont3.56	NW_003307489.1	chrUn_AACS02000056v1
AACS02000057.1	cont3.57	NW_003307488.1	chrUn_AACS02000057v1
AACS02000058.1	cont3.58	NW_003307487.1	chrUn_AACS02000058v1
AACS02000059.1	cont3.59	NW_003307486.1	chrUn_AACS02000059v1
AACS02000060.1	cont3.60	NW_003307485.1	chrUn_AACS02000060v1
AACS02000061.1	cont3.61	NW_003307484.1	chrUn_AACS02000061v1
AACS02000062.1	cont3.62	NW_003307483.1	chrUn_AACS02000062v1
AACS02000063.1	cont3.63	NW_003307482.1	chrUn_AACS02000063v1
AACS02000064.1	cont3.64	NW_003307481.1	chrUn_AACS02000064v1
AACS02000065.1	cont3.65	NW_003307480.1	chrUn_AACS02000065v1
AACS02000066.1	cont3.66	NW_003307479.1	chrUn_AACS02000066v1
AACS02000067.1	cont3.67	NW_003307478.1	chrUn_AACS02000067v1
AACS02000068.1	cont3.68	NW_003307477.1	chrMT_AACS02000068v1_random
